periodo,numero
1998-01,0
1998-02,0
1998-03,0
1998-04,0
1998-05,0
1998-06,3551
1998-07,8067
1998-08,35551
1998-09,41974
1998-10,23498
1998-11,6804
1998-12,4449
1999-01,1081
1999-02,1284
1999-03,667
1999-04,717
1999-05,1812
1999-06,3632
1999-07,8758
1999-08,39487
1999-09,36914
1999-10,27014
1999-11,8861
1999-12,4376
2000-01,778
2000-02,562
2000-03,849
2000-04,538
2000-05,2097
2000-06,6275
2000-07,4740
2000-08,22204
2000-09,23293
2000-10,27337
2000-11,8399
2000-12,4465
2001-01,547
2001-02,1059
2001-03,1268
2001-04,1081
2001-05,2090
2001-06,8433
2001-07,6490
2001-08,31887
2001-09,39834
2001-10,31038
2001-11,15639
2001-12,6201
2002-01,1654
2002-02,1570
2002-03,1679
2002-04,1682
2002-05,3818
2002-06,10839
2002-07,13751
2002-08,57151
2002-09,55803
2002-10,47722
2002-11,28179
2002-12,11944
2003-01,5091
2003-02,2398
2003-03,2749
2003-04,2677
2003-05,1747
2003-06,6506
2003-07,11804
2003-08,43736
2003-09,76325
2003-10,43295
2003-11,23572
2003-12,15342
2004-01,2705
2004-02,1255
2004-03,2040
2004-04,1335
2004-05,3535
2004-06,14262
2004-07,23809
2004-08,49325
2004-09,83500
2004-10,40331
2004-11,30763
2004-12,17524
2005-01,4990
2005-02,2153
2005-03,1706
2005-04,1011
2005-05,3210
2005-06,5811
2005-07,15663
2005-08,51981
2005-09,76257
2005-10,49876
2005-11,21752
2005-12,6354
2006-01,3255
2006-02,1666
2006-03,1774
2006-04,792
2006-05,808
2006-06,1968
2006-07,5722
2006-08,29443
2006-09,54827
2006-10,21854
2006-11,9754
2006-12,5027
2007-01,3055
2007-02,1751
2007-03,2136
2007-04,415
2007-05,1286
2007-06,3956
2007-07,7808
2007-08,66837
2007-09,94526
2007-10,32312
2007-11,13095
2007-12,4075
2008-01,2125
2008-02,1275
2008-03,1239
2008-04,1253
2008-05,553
2008-06,1287
2008-07,4507
2008-08,14528
2008-09,39445
2008-10,39264
2008-11,12778
2008-12,4995
2009-01,2848
2009-02,1140
2009-03,1392
2009-04,1078
2009-05,2593
2009-06,2962
2009-07,6599
2009-08,17559
2009-09,29430
2009-10,24202
2009-11,23914
2009-12,9494
2010-01,2851
2010-02,2386
2010-03,2417
2010-04,2200
2010-05,3497
2010-06,3642
2010-07,16646
2010-08,75305
2010-09,85415
2010-10,31489
2010-11,16587
2010-12,6856
2011-01,1416
2011-02,973
2011-03,937
2011-04,1152
2011-05,1985
2011-06,4578
2011-07,8524
2011-08,22477
2011-09,50302
2011-10,18691
2011-11,12222
2011-12,9830
2012-01,2491
2012-02,1436
2012-03,2058
2012-04,2194
2012-05,3240
2012-06,5891
2012-07,13508
2012-08,46289
2012-09,62099
2012-10,34221
2012-11,13587
2012-12,6824
2013-01,2049
2013-02,1591
2013-03,1969
2013-04,1374
2013-05,2166
2013-06,3898
2013-07,7313
2013-08,17789
2013-09,31588
2013-10,21325
2013-11,12152
2013-12,12006
2014-01,2634
2014-02,1548
2014-03,2225
2014-04,2360
2014-05,3190
2014-06,6484
2014-07,10803
2014-08,43023
2014-09,43174
2014-10,39323
2014-11,17990
2014-12,10939
2015-01,4637
2015-02,2311
2015-03,2204
2015-04,2574
2015-05,2386
2015-06,5810
2015-07,8755
2015-08,39459
2015-09,72100
2015-10,50004
2015-11,27531
2015-12,18600
2016-01,5983
2016-02,4148
2016-03,3799
2016-04,3977
2016-05,3568
2016-06,6339
2016-07,19147
2016-08,38317
2016-09,44060
2016-10,30210
2016-11,5034
2016-12,8693
2017-01,2370
2017-02,1400
2017-03,2017
2017-04,1559
2017-05,2505
2017-06,7491
2017-07,22911
2017-08,49485
2017-09,110988
2017-10,42720
2017-11,15759
